"기관명","홈페이지주소","오픈일자"
"전북지방경찰청 진안경찰서","http://ja.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 임실경찰서","http://is.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 완주경찰서","http://wj.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 남원경찰서","http://nw.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 익산경찰서","http://iksan.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 전주덕진경찰서","http://jjdj.jbpolice.go.kr","2009-02-06"
"전북지방경찰청 전주완산경찰서","http://jjws.jbpolice.go.kr","2009-02-06"
"국방부 해군 해군본부","http://www.navy.mil.kr","2009-02-09"
"문화체육관광부","http://inaru.mcst.go.kr","2009-02-09"
"충청북도 보은군","http://www.tourboeun.go.kr","2009-02-09"
"충청북도 보은군","http://sanoe.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://naebuk.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://hoein.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://hoenam.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://suhan.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://samseung.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://tanbu.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://maro.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://jangan.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://songnisan.boeun.go.kr","2009-02-09"
"충청북도 보은군","http://boeuneup.boeun.go.kr","2009-02-09"
"대구광역시 동구","http://www.dong.daegu.kr","2009-02-09"
"충청북도 제천시","http://www.okjc.net","2009-02-09"
"경상남도창원교육청","http://www.educw.go.kr","2009-02-16"
"울산중부도서관","http://www.usjl.or.kr","2009-02-20"
"전라남도강진교육청","http://www.gjed.go.kr","2009-02-20"
"서울특별시중부&#44389;육청","http://www.senjb.go.kr","2009-02-20"
"전라남도 고흥군","http://www.goheung.go.kr","2009-02-20"
"충청남도 천안시","http://www.cheonan.go.kr","2009-02-20"
"경상북도교육청 경상북도안동교육청 관리과","http://www.kbade.kr","2009-02-20"
"충청남도서천교육청","http://www.cnsce.go.kr","2009-02-20"
"농림수산식품부 국립종자원","http://www.seed.go.kr","2009-02-20"
"경상남도함안교육청","http://www.gnhme.go.kr","2009-02-20"
"국토해양부","http://luris.molit.go.kr","2009-02-20"
"경기도 양주시","http://www.yangju.go.kr","2009-02-20"
"경상남도김해교육청","http://www.gnghe.go.kr","2009-02-20"
"부산광역시 부산진구","http://www.busanjin.go.kr","2009-02-20"
"국방부 공군 교육사령부","http://atc.airforce.mil.kr:7030","2009-02-20"
"공군사관학교","http://www.afa.ac.kr","2009-02-20"
"국방부","http://www.edunavy.mil.kr","2009-02-20"
"광주광역시교육청","http://www.gen.go.kr","2009-02-20"
"울산광역시 동구","http://www.donggu.ulsan.kr","2009-02-20"
"경상북도 문경시청","http://tour.gbmg.go.kr","2009-02-20"
"강원도 양구군","http://www.yanggu.go.kr","2009-02-20"
"대구광역시달성교육청","http://www.dgdse.go.kr","2009-02-20"
"인천서부경찰서","http://sb.icpolice.go.kr","2009-02-20"
"경상남도 창원시","http://changwon.go.kr","2009-02-20"
"경상남도교육청 경상남도창녕교육청 교육과","http://www.educn.kr","2009-02-20"
"인천광역시 연수구","http://www.yeonsu.go.kr","2009-02-20"
"울산광역시 중구","http://www.junggu.ulsan.kr","2009-02-20"
"충청북도 청주시","http://www.cheongju.go.kr","2009-02-20"
"인천광역시 남동구","http://www.namdong.go.kr","2009-02-20"
"재단법인경기영어마을","http://english-village.gg.go.kr","2009-02-20"
