시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
성남시,성남동,2115,1487,434,194,1620,2021-08-25,,,,
성남시,성남시 수정구,1,1,0,0,1,2021-08-25,,,,
성남시,수내동,2571,1478,886,207,2111,2021-08-25,,,,
성남시,수진동,2110,1468,523,119,1473,2021-08-25,,,,
성남시,시흥동,131,64,54,13,86,2021-08-25,,,,
성남시,신촌동,52,30,12,10,37,2021-08-25,,,,
성남시,신흥동,2981,2067,676,238,2302,2021-08-25,,,,
성남시,심곡동,144,93,38,13,111,2021-08-25,,,,
성남시,야탑동,3207,1983,998,226,2482,2021-08-25,,,,
성남시,양지동,539,343,162,34,438,2021-08-25,,,,
성남시,여수동,388,171,178,39,309,2021-08-25,,,,
성남시,오야동,60,28,21,11,44,2021-08-25,,,,
성남시,운중동,1259,782,376,101,856,2021-08-25,,,,
성남시,율동,59,38,13,8,44,2021-08-25,,,,
성남시,은행동,2303,1565,555,183,1723,2021-08-25,,,,
성남시,이매동,1945,1185,539,221,1622,2021-08-25,,,,
성남시,정자동,5509,3496,1647,366,4378,2021-08-25,,,,
성남시,중동,620,620,0,0,447,2021-08-25,,,,
성남시,중앙동,943,607,265,71,652,2021-08-25,,,,
성남시,창곡동,1618,885,414,319,1227,2021-08-25,,,,
성남시,태평동,4010,2558,1130,322,2976,2021-08-25,,,,
성남시,판교동,1057,618,345,94,812,2021-08-25,,,,
성남시,하대원동,1304,907,258,139,1007,2021-08-25,,,,
성남시,하산운동,3,3,0,0,3,2021-08-25,,,,
수원시,고등동,769,580,123,66,567,2021-06-18,,,,
수원시,고색동,987,694,217,76,735,2021-06-18,,,,
수원시,곡반정동,1542,926,466,150,1090,2021-06-18,,,,
수원시,교동,181,131,34,16,120,2021-06-18,,,,
수원시,구운동,1449,903,371,175,1136,2021-06-18,,,,
수원시,구천동,77,53,8,16,52,2021-06-18,,,,
수원시,권선동,4910,2950,1399,561,3779,2021-06-18,,,,
수원시,금곡동,2179,1205,664,310,1689,2021-06-18,,,,
수원시,남수동,95,54,26,15,64,2021-06-18,,,,
수원시,남창동,100,73,19,8,72,2021-06-18,,,,
수원시,당수동,420,255,106,59,333,2021-06-18,,,,
수원시,망포동,2401,1452,701,248,1961,2021-06-18,,,,
수원시,매교동,378,275,57,46,271,2021-06-18,,,,
수원시,매산로1가,157,89,47,21,95,2021-06-18,,,,
수원시,매산로2가,365,243,87,35,279,2021-06-18,,,,
수원시,매산로3가,237,166,46,25,162,2021-06-18,,,,
수원시,매탄동,5062,3142,1489,431,3999,2021-06-18,,,,
수원시,매향동,72,48,16,8,55,2021-06-18,,,,
수원시,북수동,118,83,19,16,80,2021-06-18,,,,
수원시,상광교동,6,4,2,0,4,2021-06-18,,,,
수원시,서둔동,1000,621,238,141,712,2021-06-18,,,,
수원시,세류동,3592,2326,925,341,2627,2021-06-18,,,,
수원시,송죽동,1307,872,307,128,1016,2021-06-18,,,,
수원시,신동,283,164,81,38,213,2021-06-18,,,,
수원시,신풍동,123,77,30,16,86,2021-06-18,,,,
수원시,연무동,1164,876,193,95,851,2021-06-18,,,,
수원시,영동,34,17,9,8,23,2021-06-18,,,,
수원시,영통동,3972,2282,1305,385,3290,2021-06-18,,,,
수원시,영화동,1450,1029,246,175,1038,2021-06-18,,,,
수원시,오목천동,1100,727,240,133,829,2021-06-18,,,,
수원시,우만동,2157,1334,604,219,1648,2021-06-18,,,,
수원시,원천동,1549,858,493,198,1188,2021-06-18,,,,
수원시,율전동,1261,793,299,169,1020,2021-06-18,,,,
수원시,이목동,334,211,99,24,231,2021-06-18,,,,
수원시,이의동,2349,1275,866,208,1848,2021-06-18,,,,
